name,A,B,C,tMin[oC],tMax[oC]
Methanol,8.08097,1582.271,239.726,15,84
Ethanol,8.1122,1592.864,226.184,20,93
1-Propanol,7.74416,1437.686,198.463,60,106
1-Propanol,8.37895,1788.02,227.438,-15,98
2-Propanol,8.87829,2010.33,252.636,-26,83
1-Butanol,7.81028,1522.56,191.95,30,70
1-Butanol,7.75328,1506.07,191.593,70,120
1-Butanol,7.36366,1305.198,173.427,89,126
2-Butanol,7.20131,1157,168.279,72,107
1-Octanol,8.366045695,2170.240258,205.9214296,55,150
Ethylene glycol,7.251620842,1448.565085,134.1182017,80,200
Methane,6.6438,395.74,266.681,-182,-158
Ethane,6.82915,663.72,256.681,-143,-84
Propane,6.80338,804,247.04,-108,-35.65
n-Butane,6.80776,935.77,238.789,-78,19
n-Pentane,6.85296,1064.84,232.012,-50,58
n-Hexane,6.87601,1171.17,224.408,-25,92
Hexane,6.91058,1189.64,226.28,-30,170
n-Heptane,6.89677,1264.9,216.544,-2,123
Heptane,6.89386,1264.37,216.64,-3,127
n-Octane,6.91868,1351.99,209.155,19,152
n-Nonane,6.93893,1431.82,202.11,39,178
n-Decane,6.94363,1495.17,193.858,58,203
Decane,7.44,1843.12,230.22,17,174
Cyclohexane,7.264753377,1434.148339,246.7206925,6.7,80.7
Cyclohexane,6.85146,1206.47,223.136,7,81
Methylcyclohexane,7.1161,1444.59,240.184,-3,100
Isopentane,8.1122,1592.864,226.184,20,93
Toluene,6.95087,1342.31,219.187,-27,111
Benzene,6.87987,1196.76,219.161,8,80
m-Xylene,7.00909,1462.266,215.11,29,166
o-Xylene,7.00154,1476.393,213.872,63,145
p-Xylene,6.99053,1453.43,215.31,27,166
Acetone,7.6313,1566.69,273.419,57,205
Acetone,7.11714,1210.595,229.664,-13,55
Acrolein,7.06691,1204.95,235.35,-65,53
Ethyl acetate,7.10179,1244.95,217.881,16,76
"1,4-Dioxane",7.43155,1554.679,240.337,20,105
2-Butanone,7.280662108,1434.201069,246.4990457,-6.5,80
2-Butanone,7.06356,1261.339,221.969,43,88
3-Pentanone,7.23064,1477.021,237.517,36,102
Water,8.07131,1730.63,233.426,1,100
Acetonitrile,7.33986,1482.29,250.523,-27,82
Triethylamine,5.85879,695.666,144.832,50,95
Acetic acid,8.021,1936.01,258.451,18,118
Acetic acid,8.26735,2258.222,300.97,118,227
Chloroform,6.95465,1170.966,226.232,-10,60
Dichloromethane,7.0803,1138.91,231.45,-44,59
Dichoromethane,7.40916,1325.938,252.616,-40,40
Tetrachloromethane,6.84093,1177.91,220.576,-20,77
Tetrachloromethane,6.898,1221.781,227.411,-5,52.7
"1,2-Dichloroethane",7.0253,1271.254,222.927,-31,99
"1,2-Dichoroethane",7.46027,1521.789,248.48,-31,99
Benzyl chloride,7.597156018,1961.468475,236.5113668,22,180
Nitroethane,7.194583976,1446.509074,220.794784,1.5,94
Biphenyl,13.5354,4993.37,296.072,20,40
Naphthalene,8.62233,2165.72,198.284,20,40
