"equation", "name", "a", "b"
"AlCl3","Aluminum trichloride",42.63,0.245
"NH3","Ammonia",4.225,0.03713
"NH4Cl","Ammonium chloride",2.38,0.00734
"Ar","Argon",1.355,0.03201
"BCl3","Boron trichloride",15.6,0.1222
"BF3","Boron trifluoride",3.98,0.05443
"B2H6","Diborane",6.048,0.07437
"Br2","Bromine",9.75,0.0591
"ClFO2","Perchloryl fluoride",7.371,0.0713
"ClF5","Chlorine pentafluoride",9.58,0.08204
"ClH4P","Phosphonium chloride",4.111,0.04545
"Cl2","Chlorine",6.343,0.05422
"Cl3FSi","Trichlorofluorosilane",15.67,0.1273
"F2","Fluorine",1.171,0.02896
"GeCl4","Germanium tetrachloride",23.12,0.1489
"F3N","Nitrogen trifluoride",3.58,0.05453
"F3P","Phosphorus trifluoride",4.954,0.0651
"F4N2","Tetrafluorohydrazine",7.426,0.08564
"GeH4","Germane",5.743,0.06555
"He","Helium",0.0346,0.0238
"HBr","Hydrogen bromide",4.5,0.04415
"HCl","Hydrogen chloride",3.7,0.04061
"HCN","Hydrogen cyanide",11.29,0.08806
"HF","Hydrogen fluoride",9.565,0.0739
"HI","Hydrogen iodide",6.309,0.05303
"H2","Hydrogen",0.2453,0.02651
"H2O","Water",5.537,0.03049
"H2S","Hydrogen sulphide",4.544,0.04339
"H2Se","Hydrogen selenide",5.523,0.0479
"Kr","Krypton",2.325,0.0396
"SiH4","Silane",4.38,0.0579
"SiCl4","Silicon tetrachloride",20.96,0.147
"SiF4","Silicon tetrafluoride",5.259,0.07236
"TiCl4","Titanium(IV) chloride",25.47,0.1423
"Hg","Mercury",5.193,0.01057
"NO","Nitric oxide",1.46,0.0289
"NO2","Nitrogen dioxide",5.36,0.0443
"N2","Nitrogen",1.37,0.0387
"N2O","Nitrous oxide",3.852,0.04435
"N2H4","Hydrazine",8.46,0.0462
"Ne","Neon",0.208,0.01672
"O2","Oxygen",1.382,0.03186
"O3","Ozone",3.57,0.0487
"P","Phosphorus",53.6,0.157
"PH3","Phosphine",4.696,0.05157
"Rn","Radon",6.601,0.06239
"SnCl4","Stannic chloride",27.25,0.1641
"S","Sulphur",24.3,0.066
"SO2","Sulphur dioxide",6.865,0.05679
"SF6","Sulphur hexafluoride",7.857,0.08786
"Se","Selenium",33.4,0.0675
"UF6","Uranium(VI) fluoride",16.01,0.1128
"WF6","Tungsten(VI) fluoride",13.25,0.1063
"Xe","Xenon",4.192,0.05156
"XeF2","Xenon difluoride",12.46,0.07037
"XeF4","Xenon  tetrafluoride",15.52,0.09035
"CClF3","Chlorotrifluoromethane",6.873,0.0811
"CCl3F","Trichlorofluoromethane",14.68,0.1111
"CCl4","Tetrachloromethane",20.01,0.1281
"CF4","Tetrafluoromethane",4.04,0.06325
"CO","Carbon monoxide",1.472,0.03948
"COS","Carbon oxysulphide",6.975,0.06628
"CO2","Carbon dioxide",3.658,0.04286
"CS2","Carbon disulphide",11.25,0.07262
"CHCl3","Trichloromethane",15.34,0.1019
"CHF3","Trifluoromethane",5.378,0.06403
"CH2Cl2","Dichloromethane",12.44,0.08689
"CH2F2","Difluoromethane",6.184,0.06268
"CH3Cl","Chloromethane",7.566,0.06477
"CH3F","Fluoromethane",5.009,0.05617
"NH3NO2","Nitromethane",17.18,0.1041
"CH4","Methane",2.3,0.04301
"CH3OH","Methanol",9.472,0.06584
"CH3SH","Methanethiol",8.911,0.06756
"CH3NH2","Methylamine",7.106,0.05879
